代码,公告,支付金额(元)
600166.SH,2019/9/20,"250,054,761.17"
300206.SZ,2019/9/20,"20,841,141.85"
000779.SZ,2019/9/20,"141,299,400.00"
603365.SH,2019/9/19,"4,300,710.00"
601058.SH,2019/9/19,"259,504,914.95"
300736.SZ,2019/9/19,"15,011,252.00"
300113.SZ,2019/9/19,"250,088,378.52"
002656.SZ,2019/9/19,
002605.SZ,2019/9/19,"20,005,672.38"
002391.SZ,2019/9/19,"151,663,976.40"
002365.SZ,2019/9/19,"3,435,535.00"
000100.SZ,2019/9/19,"1,643,683,898.72"
603586.SH,2019/9/18,"66,558,162.23"
600843.SH,2019/9/18,"2,338,156.00"
600811.SH,2019/9/18,"200,521,500.00"
600579.SH,2019/9/18,"2,098,798.00"
300401.SZ,2019/9/18,"65,767,270.89"
002712.SZ,2019/9/18,"243,195,228.48"
002365.SZ,2019/9/18,"49,992,848.77"
002233.SZ,2019/9/18,"15,845,800.00"
002859.SZ,2019/9/17,
002614.SZ,2019/9/17,"100,029,900.00"
002572.SZ,2019/9/17,"205,112,633.09"
002206.SZ,2019/9/17,"262,251,183.95"
002083.SZ,2019/9/17,"162,643,000.00"
600510.SH,2019/9/16,"194,332,706.37"
300207.SZ,2019/9/16,"201,002,253.66"
002564.SZ,2019/9/16,"126,116,581.02"
002221.SZ,2019/9/16,"541,139,948.87"
601058.SH,2019/9/12,"130,403,215.09"
600603.SH,2019/9/12,"130,395,727.46"
600373.SH,2019/9/12,"182,643,451.74"
300732.SZ,2019/9/12,
300056.SZ,2019/9/12,"881,861.48"
002404.SZ,2019/9/12,"32,878,389.90"
002229.SZ,2019/9/12,
002145.SZ,2019/9/12,"210,966,928.52"
000720.SZ,2019/9/12,"127,351,831.65"
300081.SZ,2019/9/11,"21,044,502.94"
002751.SZ,2019/9/11,"14,978,179.00"
002550.SZ,2019/9/11,"309,444,715.61"
002391.SZ,2019/9/11,"93,325,115.42"
600998.SH,2019/9/10,"257,844,197.70"
300418.SZ,2019/9/10,"300,268,373.26"
300056.SZ,2019/9/10,
002675.SZ,2019/9/10,
002275.SZ,2019/9/10,"204,005,651.99"
002233.SZ,2019/9/10,
603788.SH,2019/9/7,"65,029,307.19"
603507.SH,2019/9/7,
601579.SH,2019/9/7,"7,925,587.10"
600843.SH,2019/9/7,
300418.SZ,2019/9/7,"300,268,373.26"
300360.SZ,2019/9/7,"104,697,773.19"
300097.SZ,2019/9/7,"155,548,939.16"
002747.SZ,2019/9/7,"59,638,097.07"
002712.SZ,2019/9/7,"213,202,999.81"
002614.SZ,2019/9/7,"84,811,300.00"
002564.SZ,2019/9/7,"96,337,139.91"
600285.SH,2019/9/6,"152,848,514.05"
300074.SZ,2019/9/6,
002145.SZ,2019/9/6,"145,857,060.34"
000008.SZ,2019/9/6,"204,241,012.00"
603128.SH,2019/9/5,"126,672,922.34"
600185.SH,2019/9/5,"153,983,900.00"
600090.SH,2019/9/5,"991,900.00"
002879.SZ,2019/9/5,"82,291,238.30"
002589.SZ,2019/9/5,"60,399,950.80"
002559.SZ,2019/9/5,"79,854,774.51"
002273.SZ,2019/9/5,"883,800.00"
002126.SZ,2019/9/5,"63,023,655.35"
000671.SZ,2019/9/5,"143,913,944.17"
603901.SH,2019/9/4,"51,945,216.27"
603779.SH,2019/9/4,"6,799,890.26"
603596.SH,2019/9/4,"8,012,392.00"
603157.SH,2019/9/4,
603066.SH,2019/9/4,"15,827,694.95"
603045.SH,2019/9/4,"1,005,548.14"
601666.SH,2019/9/4,"198,061,613.95"
601058.SH,2019/9/4,"5,765,527.20"
600478.SH,2019/9/4,"24,222,067.15"
600400.SH,2019/9/4,
600398.SH,2019/9/4,"11,282,404.00"
600293.SH,2019/9/4,"9,993,556.17"
600200.SH,2019/9/4,"3,998,584.00"
600197.SH,2019/9/4,"99,986,000.00"
600136.SH,2019/9/4,"346,123.00"
600098.SH,2019/9/4,"3,019,002.08"
600098.SH,2019/9/4,
300611.SZ,2019/9/4,"5,470,820.00"
300459.SZ,2019/9/4,"75,987,277.05"
300418.SZ,2019/9/4,"239,776,929.26"
300416.SZ,2019/9/4,"64,440,121.12"
300315.SZ,2019/9/4,"103,725,690.85"
300315.SZ,2019/9/4,"104,563,070.80"
300207.SZ,2019/9/4,"175,497,702.40"
300053.SZ,2019/9/4,"30,367,170.80"
300003.SZ,2019/9/4,"254,282,100.00"
002900.SZ,2019/9/4,"82,865,742.02"
002873.SZ,2019/9/4,
002845.SZ,2019/9/4,"9,997,115.00"
002831.SZ,2019/9/4,
002653.SZ,2019/9/4,
002610.SZ,2019/9/4,
002605.SZ,2019/9/4,"14,996,439.38"
002602.SZ,2019/9/4,"1,581,175,973.65"
002597.SZ,2019/9/4,"120,897,544.43"
