,index,code,time,money,year
2964,5074,002681.SZ,2018/12/4,7965462.07,2018
2974,59,002681.SZ,2019/11/2,99991644.89,2019
2976,3118,002687.SZ,2019/3/25,1317114,2019
2980,2181,002687.SZ,2019/5/22,31316636.32,2019
2991,6694,002701.SZ,2018/3/27,36952000,2018
2997,6146,002701.SZ,2018/8/27,87699363.61,2018
2999,5891,002705.SZ,2018/9/28,3240581.36,2018
3005,4246,002705.SZ,2019/1/14,99992678.76,2019
3007,5214,002706.SZ,2018/11/30,359100,2018
3015,2455,002706.SZ,2019/5/7,100085613.9,2019
3017,4283,002712.SZ,2019/1/9,3024600,2019
3033,137,002712.SZ,2019/11/1,247185661.6,2019
3037,3115,002719.SZ,2019/3/26,260600,2019
3040,1848,002719.SZ,2019/6/5,99672566,2019
3048,1984,002733.SZ,2019/6/4,4995255,2019
3053,6880,002734.SZ,2017/10/10,16229444.76,2017
3058,1846,002747.SZ,2019/6/5,4792924,2019
3062,564,002747.SZ,2019/9/7,54845173.07,2019
3064,5750,002751.SZ,2018/10/10,6519390,2018
3074,548,002751.SZ,2019/9/11,14978179,2019
3077,5583,002772.SZ,2018/11/1,4999489,2018
3082,4833,002772.SZ,2018/12/14,94991364.2,2018
